,date,close,high,low,open,volume
0,2000-01-03,18.00614356994629,18.512340377133533,17.93382974034811,18.512340377133533,2434800
1,2000-01-04,17.536108016967773,17.91575571630419,17.499951093221448,17.716892635699402,2358400
2,2000-01-05,16.939516067504883,17.716889803793794,16.704496100719865,17.57226213192609,3169400
3,2000-01-06,16.90335464477539,17.35531599891377,16.740648557285574,16.776805465616643,5802200
4,2000-01-07,17.915746688842773,18.024217405425073,16.776804164728652,17.102216314475545,5570200
5,2000-01-10,18.403873443603516,18.403873443603516,17.861519609312648,18.36771652131746,3049600
6,2000-01-11,18.494258880615234,18.747357242617788,18.20500360975517,18.223082064183924,3850800
7,2000-01-12,18.62080955505371,18.638888010932405,18.168848158086387,18.295397349237238,2332600
8,2000-01-13,18.747358322143555,19.000456698720228,18.458103034627356,18.54849531197617,2643000
9,2000-01-14,18.313474655151367,19.3077896660431,17.951905560281645,19.090848209121265,4695800
10,2000-01-18,18.22308921813965,18.40387383339897,17.951912295250665,18.24116767966558,2902000
11,2000-01-19,17.789201736450195,18.29539853382886,17.680730994154764,18.223084705631905,2470200
12,2000-01-20,17.915746688842773,18.440021818990544,17.499942275277302,17.75304061396933,3082000
13,2000-01-21,17.734968185424805,18.295400411467792,17.46379130185562,18.295400411467792,3642200
14,2000-01-24,17.599533081054688,18.2701641047406,17.54515759264772,18.197663453531312,3024800
15,2000-01-25,17.29141616821289,17.925797264530974,17.18266512312979,17.90767209035046,1929000
16,2000-01-26,17.454538345336914,17.581414532686196,17.092034952910396,17.327662157987636,1368000
17,2000-01-27,17.490787506103516,17.780790200505233,17.32766099050255,17.32766099050255,2075200
18,2000-01-28,17.25515365600586,17.726407852493416,16.96515107355198,17.563281399863108,3138400
19,2000-01-31,17.182655334472656,17.309531481457157,16.965153368213507,17.037654023633223,3411800
20,2000-02-01,17.29141616821289,17.454542735837542,16.947037858783077,17.18266512312979,3090800
21,2000-02-02,17.780792236328125,17.871418088704925,17.327662974444124,17.545165020148445,3010400
22,2000-02-03,17.400161743164062,17.907666460673013,16.928907362620034,17.69016443888346,4268600
23,2000-02-04,16.312646865844727,17.273280514611137,15.950143602159287,17.255155351426865,6497800
24,2000-02-07,16.34890365600586,16.475779848458235,15.5332709902406,16.31265331530518,5906200
25,2000-02-08,17.019533157348633,17.218910010097126,16.348901925376428,16.348901925376428,5455600
26,2000-02-09,16.874530792236328,17.32765997570132,16.67515395151173,17.32765997570132,4435400
27,2000-02-10,16.675151824951172,16.965154465385105,16.63890149489693,16.892653805276623,2444400
28,2000-02-11,16.203903198242188,16.711407996397423,16.13140251279144,16.711407996397423,3301200
29,2000-02-14,15.660150527954102,16.222030928841345,15.370147740399396,16.222030928841345,3962000
30,2000-02-15,16.149526596069336,16.18577693635232,15.605771491824578,15.877649043946956,4309200
31,2000-02-16,16.05889320373535,16.45764675958431,15.986392557217359,16.203894496771337,3066000
32,2000-02-17,15.642013549804688,16.240143847769406,15.515137425993988,16.131392884503096,2682200
